Feature,Importance
categorical__City_Inglewood,5.6281854262602685e-05
categorical__City_Fargo,5.481382154967167e-05
categorical__City_Lake Charles,5.3979110988374123e-05
categorical__City_Olathe,5.25995836086846e-05
categorical__City_Salem,5.225098921178938e-05
categorical__City_Waterbury,5.0200550745677735e-05
categorical__City_La Crosse,4.881117129510266e-05
categorical__State_Idaho,4.715602764594722e-05
categorical__City_Buffalo Grove,4.6756230578291816e-05
categorical__City_Canton,4.6723896578452905e-05
categorical__City_Portland,4.6583698635923165e-05
categorical__City_Suffolk,4.55907809699601e-05
categorical__City_Little Rock,4.534731776044483e-05
categorical__City_Waynesboro,4.413766782070578e-05
categorical__City_Chester,4.257971937902564e-05
categorical__City_Newport News,4.123457995156347e-05
categorical__City_Brownsville,4.081224102374743e-05
categorical__City_Hattiesburg,3.9521525624422964e-05
categorical__City_Naperville,3.925887254280867e-05
categorical__City_Pocatello,3.86950868608349e-05
categorical__State_North Dakota,3.8561356619861814e-05
categorical__City_Gastonia,3.835466299755507e-05
categorical__City_Woodbury,3.816294146530728e-05
categorical__City_Durham,3.769737468542411e-05
categorical__City_Cincinnati,3.71414274390498e-05
categorical__City_Paterson,3.607922765659458e-05
categorical__City_Hollywood,3.571381933570403e-05
categorical__City_Green Bay,3.4474640697998116e-05
categorical__City_Murrieta,3.43334370831196e-05
categorical__City_Hoover,3.428448405349505e-05
categorical__State_Kansas,3.3429293841255806e-05
categorical__City_Wheeling,3.291196365028607e-05
categorical__State_West Virginia,3.263051585223332e-05
categorical__City_Southaven,3.253564964073536e-05
categorical__City_Summerville,3.028861691505464e-05
categorical__City_Smyrna,2.899152519388854e-05
categorical__City_Pembroke Pines,2.788613527346412e-05
categorical__City_Santa Barbara,2.7694123778628958e-05
categorical__City_Irving,2.76612372294811e-05
categorical__City_Manteca,2.7460640993534945e-05
categorical__City_Sioux Falls,2.7280567161484562e-05
categorical__City_Revere,2.7167219206595864e-05
categorical__City_Pueblo,2.713659778718184e-05
categorical__City_Bristol,2.712098787789987e-05
categorical__State_South Dakota,2.7072523730549293e-05
categorical__City_Freeport,2.587815310786161e-05
categorical__City_Apple Valley,2.5598830216472444e-05
categorical__City_Parker,2.5307370389239143e-05
categorical__City_New Rochelle,2.4947462474368968e-05
categorical__City_Bangor,2.467992992609832e-05
categorical__City_Lawton,2.370735568709052e-05
categorical__City_Salt Lake City,2.2999565979791894e-05
categorical__City_Elmhurst,2.2975498299276447e-05
categorical__City_Morgan Hill,2.2741907969670385e-05
categorical__City_Temecula,2.2505648794975954e-05
categorical__City_Mcallen,2.2086849555887426e-05
categorical__City_Wichita,2.1918696937347462e-05
categorical__City_Broomfield,2.184733345422766e-05
categorical__City_Saint Petersburg,2.1530191796454114e-05
categorical__City_Carol Stream,2.099097831680635e-05
categorical__State_Maine,2.0655092748397383e-05
categorical__City_Eau Claire,2.0579082078254255e-05
categorical__City_Thornton,2.0496125876821223e-05
categorical__City_Edmonds,2.0000240989439096e-05
categorical__City_Olympia,1.9249934792404773e-05
categorical__City_Johnson City,1.8641259596056782e-05
categorical__City_Mishawaka,1.8624105676962576e-05
categorical__City_Bowling Green,1.812120887558112e-05
categorical__City_Orland Park,1.81038567678994e-05
categorical__City_Pearland,1.8039460105583517e-05
categorical__City_Wausau,1.7818258981869324e-05
categorical__City_Norwich,1.7768070600306705e-05
categorical__City_Des Plaines,1.7583474157983477e-05
categorical__City_Fort Collins,1.7364735677304054e-05
categorical__City_Mount Pleasant,1.721498376728774e-05
categorical__State_New Mexico,1.6667816630402476e-05
categorical__City_Vancouver,1.6588657271002633e-05
categorical__City_Odessa,1.640952597140718e-05
categorical__City_Oak Park,1.6288022609246368e-05
categorical__City_Overland Park,1.5956371351763604e-05
categorical__City_Peoria,1.568559418710742e-05
categorical__City_Whittier,1.538063529340449e-05
categorical__City_Bloomington,1.5299073940611426e-05
categorical__City_Westland,1.5279563896373498e-05
categorical__City_Park Ridge,1.512024065352287e-05
categorical__City_Chandler,1.5092923571348546e-05
categorical__City_Longmont,1.4942439152920116e-05
categorical__City_Mission Viejo,1.469793279512394e-05
categorical__City_Hesperia,1.467225951791681e-05
categorical__City_Waco,1.4562625537751072e-05
categorical__City_Chattanooga,1.3677749704787984e-05
categorical__City_Boynton Beach,1.3071691956395374e-05
categorical__City_Rome,1.2417406265132966e-05
categorical__City_Sunnyvale,1.1722111103699326e-05
categorical__City_Clifton,1.1434962294244136e-05
categorical__City_Costa Mesa,1.0861822139743879e-05
categorical__City_Skokie,1.0826331298079507e-05
categorical__City_Highland Park,1.0601615467515866e-05
categorical__City_Sanford,1.0446641491888073e-05
categorical__City_Milford,1.0182620700667268e-05
categorical__City_Woodland,1.0068570021279099e-05
categorical__City_Lehi,9.916105449266001e-06
categorical__City_Plantation,9.851922003714097e-06
categorical__City_Saint Charles,9.47960111123881e-06
categorical__City_Amarillo,9.475462186018032e-06
categorical__City_League City,9.245224281738301e-06
categorical__City_Bossier City,9.227723927788097e-06
categorical__City_Utica,9.100234916559307e-06
categorical__City_Tyler,9.068357629233123e-06
categorical__City_Bakersfield,8.595617708211053e-06
categorical__City_La Mesa,8.392554282462163e-06
categorical__City_San Angelo,8.19640679003454e-06
categorical__City_Texas City,8.092543696211523e-06
categorical__City_Redmond,8.065319303948321e-06
categorical__City_Trenton,8.050599420128863e-06
categorical__City_Moreno Valley,8.001210279677633e-06
categorical__City_Scottsdale,7.943755315838571e-06
categorical__City_Saint Peters,7.941674804111776e-06
categorical__City_New Albany,7.453118009891127e-06
categorical__City_Lebanon,7.335318902285383e-06
categorical__City_Harlingen,7.317673413943916e-06
categorical__City_Conway,7.311774271069698e-06
categorical__City_Quincy,6.9404460616093654e-06
categorical__City_Laredo,6.907473173337637e-06
categorical__City_Tuscaloosa,6.760479748393623e-06
categorical__City_Westfield,6.678792397975855e-06
categorical__City_Coon Rapids,6.4929432338705175e-06
categorical__City_Grand Prairie,6.228828581113055e-06
categorical__City_El Cajon,6.144660588876241e-06
categorical__City_Texarkana,6.110114882027204e-06
categorical__City_Port Arthur,6.084203495853976e-06
categorical__City_Hendersonville,6.079796414166192e-06
categorical__City_Renton,5.971908032158388e-06
categorical__City_Taylor,5.960901547365244e-06
categorical__City_Tempe,5.7627699572291405e-06
categorical__City_Visalia,5.75176612600847e-06
categorical__City_Modesto,5.3780916599500395e-06
